Red,Green,Blue
0.287,0.331,0.381
0.280,0.337,0.383
0.278,0.335,0.386
0.275,0.339,0.386
0.274,0.339,0.387
0.268,0.345,0.387
0.265,0.348,0.387
0.261,0.353,0.386
0.257,0.358,0.385
0.250,0.364,0.386
0.238,0.373,0.389
0.231,0.376,0.393
0.224,0.383,0.393
0.213,0.394,0.394
0.207,0.402,0.390
0.200,0.414,0.386
0.190,0.448,0.362
0.195,0.463,0.341
0.185,0.519,0.296
0.200,0.450,0.350
0.182,0.455,0.364
0.179,0.429,0.393
0.182,0.424,0.394
0.184,0.421,0.395
0.186,0.395,0.419
0.176,0.392,0.431
0.175,0.386,0.439
0.172,0.379,0.448
0.172,0.379,0.448
0.175,0.368,0.456
0.167,0.352,0.481
0.180,0.340,0.480
0.174,0.326,0.500
0.179,0.333,0.487
0.206,0.324,0.471
0.200,0.333,0.467
0.214,0.321,0.464
0.231,0.308,0.462
0.217,0.304,0.478
0.261,0.304,0.435
0.238,0.333,0.429
0.263,0.316,0.421
0.278,0.333,0.389
0.278,0.333,0.389
0.235,0.353,0.412
0.267,0.333,0.400
0.267,0.333,0.400
0.267,0.333,0.400
0.267,0.333,0.400
0.308,0.308,0.385
0.308,0.308,0.385
0.250,0.333,0.417
0.250,0.333,0.417
0.333,0.333,0.333
0.333,0.333,0.333
0.308,0.385,0.308
0.333,0.333,0.333
0.333,0.333,0.333
0.333,0.333,0.333
0.333,0.333,0.333
0.333,0.333,0.333
0.333,0.333,0.333
0.333,0.333,0.333
0.333,0.333,0.333
0.333,0.333,0.333
0.250,0.333,0.417
0.200,0.333,0.467
0.211,0.263,0.526
0.179,0.250,0.571
0.184,0.289,0.526
0.224,0.347,0.429
0.218,0.327,0.455
0.226,0.306,0.468
0.243,0.314,0.443
0.250,0.309,0.441
0.258,0.306,0.435
0.271,0.305,0.424
0.283,0.304,0.413
0.306,0.306,0.389
0.321,0.286,0.393
0.348,0.304,0.348
0.333,0.333,0.333
0.333,0.333,0.333
0.400,0.300,0.300
0.500,0.333,0.167
0.600,0.200,0.200
0.600,0.200,0.200
0.600,0.200,0.200
0.444,0.333,0.222
0.412,0.353,0.235
0.370,0.370,0.259
0.341,0.341,0.317
0.338,0.323,0.338
0.314,0.353,0.333
0.265,0.353,0.382
0.262,0.349,0.389
0.268,0.348,0.384
0.281,0.327,0.392
0.292,0.327,0.381
0.288,0.325,0.387
0.294,0.325,0.380
0.285,0.335,0.380
0.248,0.362,0.389
0.231,0.369,0.400
0.208,0.377,0.415
0.162,0.405,0.432
0.156,0.378,0.467
0.208,0.333,0.458
0.250,0.350,0.400
0.235,0.353,0.412
0.267,0.333,0.400
0.250,0.333,0.417
0.250,0.333,0.417
0.250,0.333,0.417
0.333,0.222,0.444
0.265,0.294,0.441
0.259,0.321,0.420
0.245,0.333,0.422
0.198,0.333,0.469
0.161,0.321,0.518
0.160,0.340,0.500
0.161,0.290,0.548
0.238,0.333,0.429
0.235,0.353,0.412
0.250,0.312,0.437
0.267,0.333,0.400
0.235,0.353,0.412
0.235,0.353,0.412
0.211,0.368,0.421
0.211,0.368,0.421
0.235,0.353,0.412
0.235,0.353,0.412
0.235,0.353,0.412
0.235,0.353,0.412
0.235,0.353,0.412
0.235,0.353,0.412
0.235,0.353,0.412
0.211,0.368,0.421
0.222,0.333,0.444
0.235,0.353,0.412
0.211,0.368,0.421
0.211,0.368,0.421
0.222,0.333,0.444
0.235,0.353,0.412
0.211,0.368,0.421
0.227,0.318,0.455
0.227,0.318,0.455
0.217,0.304,0.478
0.185,0.333,0.481
0.139,0.361,0.500
0.114,0.409,0.477
0.140,0.400,0.460
0.183,0.367,0.450
0.192,0.370,0.438
0.189,0.365,0.446
0.192,0.370,0.438
0.183,0.366,0.451
0.180,0.377,0.443
0.164,0.382,0.455
0.151,0.396,0.453
0.120,0.420,0.460
0.122,0.408,0.469
0.120,0.420,0.460
0.122,0.408,0.469
0.148,0.407,0.444
0.175,0.386,0.439
0.186,0.373,0.441
0.186,0.373,0.441
0.185,0.369,0.446
0.191,0.368,0.441
0.192,0.372,0.436
0.205,0.373,0.422
0.207,0.370,0.424
0.205,0.375,0.420
0.224,0.367,0.408
0.239,0.358,0.404
0.238,0.362,0.400
0.239,0.358,0.404
0.228,0.366,0.406
0.232,0.364,0.404
0.236,0.358,0.406
0.241,0.357,0.402
0.248,0.354,0.398
0.265,0.345,0.389
0.289,0.331,0.380
0.299,0.323,0.378
0.294,0.325,0.381
0.293,0.325,0.382
0.296,0.328,0.376
0.269,0.345,0.387
0.202,0.369,0.429
0.151,0.396,0.453
0.158,0.386,0.456
0.175,0.381,0.444
0.169,0.373,0.458
0.149,0.383,0.468
0.130,0.391,0.478
0.130,0.391,0.478
0.149,0.383,0.468
0.136,0.386,0.477
0.136,0.386,0.477
0.152,0.370,0.478
0.152,0.370,0.478
0.156,0.356,0.489
0.146,0.375,0.479
0.148,0.370,0.481
0.148,0.370,0.481
0.154,0.365,0.481
0.154,0.365,0.481
0.157,0.353,0.490
0.160,0.340,0.500
0.149,0.340,0.511
0.146,0.341,0.512
0.146,0.341,0.512
0.167,0.333,0.500
0.163,0.326,0.512
0.159,0.318,0.523
0.163,0.327,0.510
0.163,0.327,0.510
0.170,0.319,0.511
0.156,0.333,0.511
0.156,0.333,0.511
0.156,0.333,0.511
0.167,0.333,0.500
0.167,0.333,0.500
0.178,0.333,0.489
0.178,0.333,0.489
0.182,0.341,0.477
0.171,0.341,0.488
0.175,0.350,0.475
0.175,0.350,0.475
0.162,0.351,0.486
0.171,0.343,0.486
0.171,0.343,0.486
0.176,0.324,0.500
0.161,0.323,0.516
