Red,Green,Blue
0.507,0.316,0.177
0.505,0.319,0.176
0.511,0.312,0.176
0.511,0.305,0.185
0.510,0.294,0.196
0.508,0.285,0.208
0.504,0.275,0.221
0.503,0.272,0.225
0.504,0.280,0.215
0.507,0.285,0.208
0.507,0.292,0.201
0.505,0.295,0.200
0.498,0.302,0.200
0.491,0.306,0.203
0.471,0.316,0.214
0.435,0.315,0.250
0.418,0.305,0.277
0.401,0.296,0.304
0.378,0.282,0.340
0.372,0.282,0.346
0.368,0.284,0.348
0.365,0.284,0.351
0.378,0.273,0.350
0.399,0.260,0.342
0.455,0.249,0.296
0.474,0.247,0.279
0.524,0.236,0.240
0.525,0.237,0.238
0.529,0.241,0.230
0.540,0.247,0.214
0.537,0.260,0.203
0.511,0.272,0.216
0.511,0.247,0.242
0.501,0.241,0.259
0.452,0.266,0.282
0.410,0.275,0.315
0.380,0.264,0.356
0.375,0.252,0.373
0.378,0.252,0.370
0.391,0.258,0.351
0.397,0.262,0.341
0.411,0.274,0.315
0.431,0.285,0.285
0.441,0.287,0.272
0.440,0.289,0.271
0.449,0.283,0.267
0.435,0.248,0.317
0.414,0.255,0.331
0.402,0.255,0.342
0.400,0.255,0.344
0.390,0.252,0.358
0.386,0.256,0.358
0.380,0.258,0.362
0.378,0.262,0.359
0.385,0.270,0.344
0.394,0.272,0.334
0.384,0.265,0.351
0.382,0.264,0.354
0.385,0.269,0.346
0.380,0.267,0.353
0.381,0.269,0.350
0.386,0.271,0.343
0.407,0.275,0.318
0.429,0.278,0.293
0.422,0.328,0.250
0.416,0.315,0.269
0.393,0.318,0.289
0.380,0.319,0.302
0.368,0.321,0.311
0.367,0.319,0.314
0.370,0.318,0.312
0.375,0.316,0.309
0.387,0.310,0.303
0.401,0.304,0.295
0.488,0.282,0.230
0.501,0.272,0.227
0.513,0.261,0.225
0.525,0.253,0.222
0.530,0.245,0.225
0.533,0.244,0.223
0.532,0.252,0.216
0.527,0.265,0.208
0.521,0.275,0.204
0.520,0.276,0.203
0.521,0.272,0.207
0.519,0.271,0.210
0.503,0.292,0.205
0.505,0.288,0.207
0.511,0.278,0.211
0.511,0.275,0.214
0.505,0.280,0.215
0.502,0.284,0.213
0.501,0.287,0.212
0.504,0.289,0.207
0.509,0.284,0.206
0.507,0.282,0.210
0.500,0.281,0.219
0.497,0.283,0.220
0.497,0.285,0.218
0.498,0.286,0.216
0.499,0.285,0.215
0.499,0.285,0.216
0.501,0.284,0.215
0.491,0.289,0.221
0.495,0.287,0.218
0.499,0.285,0.215
0.503,0.285,0.212
0.505,0.283,0.212
0.500,0.285,0.214
0.476,0.295,0.229
0.429,0.287,0.284
0.390,0.293,0.317
0.395,0.343,0.262
0.397,0.341,0.262
0.385,0.325,0.289
0.405,0.280,0.314
0.467,0.284,0.249
0.514,0.270,0.217
0.501,0.286,0.213
0.497,0.273,0.230
0.485,0.292,0.223
0.470,0.312,0.218
0.482,0.290,0.228
0.489,0.286,0.225
0.492,0.281,0.227
0.493,0.282,0.225
0.494,0.283,0.222
0.500,0.283,0.217
0.504,0.281,0.214
0.506,0.281,0.213
0.504,0.281,0.215
0.501,0.283,0.216
0.494,0.289,0.217
0.475,0.293,0.232
0.385,0.251,0.364
0.382,0.249,0.370
0.380,0.247,0.373
0.382,0.246,0.372
0.390,0.247,0.363
0.397,0.250,0.353
0.402,0.248,0.350
0.407,0.242,0.352
0.429,0.255,0.316
0.494,0.289,0.217
0.496,0.288,0.216
0.503,0.285,0.213
0.506,0.284,0.210
0.500,0.286,0.214
0.504,0.286,0.210
0.509,0.289,0.202
0.508,0.289,0.203
0.505,0.292,0.203
0.506,0.294,0.200
0.498,0.287,0.214
0.499,0.286,0.215
0.498,0.290,0.212
0.495,0.294,0.211
0.501,0.286,0.213
0.498,0.284,0.219
0.496,0.287,0.216
0.413,0.300,0.287
0.428,0.299,0.274
0.425,0.299,0.276
0.405,0.303,0.291
0.388,0.308,0.304
0.377,0.310,0.313
0.371,0.315,0.314
0.368,0.326,0.305
0.371,0.342,0.287
0.379,0.355,0.266
0.385,0.358,0.257
0.391,0.359,0.249
0.391,0.362,0.247
0.389,0.361,0.249
0.385,0.363,0.252
0.386,0.362,0.251
0.387,0.364,0.248
0.385,0.363,0.252
0.386,0.362,0.251
0.387,0.364,0.248
0.378,0.365,0.257
0.379,0.365,0.256
0.385,0.366,0.249
0.396,0.362,0.243
0.409,0.354,0.237
0.429,0.333,0.238
0.448,0.304,0.247
0.451,0.296,0.254
0.482,0.291,0.226
0.488,0.290,0.222
0.496,0.290,0.215
0.502,0.289,0.209
0.506,0.289,0.205
0.509,0.289,0.202
0.514,0.289,0.197
0.519,0.289,0.193
0.525,0.287,0.188
0.529,0.286,0.185
0.531,0.286,0.183
0.530,0.286,0.184
0.527,0.287,0.186
0.524,0.286,0.189
0.522,0.286,0.192
0.516,0.285,0.199
0.512,0.283,0.205
0.507,0.283,0.210
0.502,0.285,0.213
0.506,0.311,0.183
0.513,0.307,0.180
0.521,0.301,0.178
0.521,0.298,0.182
0.519,0.295,0.186
0.517,0.293,0.190
0.515,0.290,0.195
0.513,0.287,0.200
0.510,0.284,0.206
0.507,0.283,0.210
0.502,0.285,0.213
0.481,0.263,0.256
0.474,0.263,0.263
0.468,0.275,0.257
0.463,0.292,0.246
0.456,0.297,0.247
0.451,0.291,0.258
0.450,0.287,0.263
0.444,0.292,0.264
0.441,0.295,0.264
0.438,0.298,0.265
0.435,0.298,0.267
0.406,0.296,0.297
0.411,0.294,0.295
0.420,0.290,0.290
0.432,0.284,0.283
0.438,0.286,0.276
0.423,0.291,0.286
0.389,0.311,0.300
0.362,0.330,0.308
0.355,0.333,0.312
0.358,0.332,0.310
0.370,0.327,0.303
0.386,0.320,0.294
0.411,0.307,0.283
0.431,0.249,0.320
0.416,0.252,0.332
0.397,0.256,0.346
0.380,0.265,0.355
0.358,0.282,0.360
0.347,0.297,0.356
0.344,0.304,0.352
0.342,0.316,0.342
0.515,0.286,0.199
0.514,0.278,0.208
0.502,0.275,0.223
0.491,0.274,0.235
0.477,0.275,0.247
0.459,0.285,0.256
0.458,0.285,0.257
0.452,0.276,0.272
0.436,0.331,0.232
0.436,0.283,0.280
0.414,0.260,0.325
0.393,0.252,0.356
0.378,0.251,0.371
0.368,0.251,0.381
0.366,0.250,0.384
0.368,0.251,0.381
0.372,0.252,0.376
0.384,0.251,0.365
0.370,0.348,0.283
0.366,0.355,0.280
0.370,0.348,0.283
0.363,0.352,0.286
0.367,0.344,0.289
0.360,0.348,0.292
0.360,0.349,0.291
0.354,0.341,0.305
0.342,0.354,0.304
0.333,0.359,0.308
0.333,0.359,0.308
0.342,0.354,0.304
0.338,0.350,0.312
0.261,0.319,0.420
0.271,0.300,0.429
0.261,0.304,0.435
0.242,0.323,0.435
0.230,0.328,0.443
0.217,0.333,0.450
0.207,0.345,0.448
0.207,0.345,0.448
0.207,0.345,0.448
0.203,0.339,0.458
0.217,0.333,0.450
0.226,0.339,0.435
0.234,0.328,0.437
0.242,0.318,0.439
0.254,0.310,0.437
0.257,0.314,0.429
0.246,0.319,0.435
0.242,0.333,0.424
0.222,0.333,0.444
0.222,0.333,0.444
0.231,0.338,0.431
0.231,0.338,0.431
0.250,0.324,0.426
0.270,0.311,0.419
0.274,0.333,0.393
0.281,0.348,0.371
0.274,0.333,0.393
0.281,0.348,0.371
0.293,0.348,0.359
0.309,0.351,0.340
0.320,0.350,0.330
0.327,0.347,0.327
0.349,0.340,0.311
0.358,0.340,0.302
0.373,0.336,0.291
0.378,0.333,0.288
0.395,0.333,0.272
0.412,0.328,0.261
0.388,0.336,0.276
0.359,0.336,0.305
0.308,0.342,0.350
0.276,0.314,0.410
0.265,0.296,0.439
0.253,0.310,0.437
0.224,0.342,0.434
0.177,0.323,0.500
0.170,0.226,0.604
0.369,0.351,0.279
0.366,0.348,0.286
0.365,0.348,0.287
0.368,0.350,0.282
0.367,0.350,0.283
0.366,0.350,0.285
0.370,0.346,0.283
0.368,0.346,0.286
0.371,0.348,0.280
0.379,0.348,0.273
0.364,0.357,0.279
0.294,0.405,0.302
0.185,0.468,0.347
0.354,0.354,0.291
0.364,0.351,0.286
0.354,0.354,0.291
0.363,0.350,0.287
0.363,0.350,0.287
0.354,0.354,0.291
0.342,0.368,0.289
0.354,0.354,0.291
0.366,0.354,0.280
0.366,0.366,0.269
0.389,0.361,0.250













