Red,Green,Blue
0.499,0.258,0.243
0.495,0.260,0.245
0.494,0.259,0.247
0.494,0.259,0.248
0.493,0.258,0.249
0.493,0.258,0.249
0.494,0.258,0.247
0.498,0.257,0.245
0.508,0.251,0.241
0.517,0.246,0.237
0.524,0.246,0.231
0.526,0.251,0.223
0.525,0.257,0.218
0.524,0.264,0.212
0.522,0.267,0.210
0.522,0.268,0.210
0.519,0.271,0.209
0.516,0.274,0.209
0.510,0.281,0.209
0.505,0.286,0.209
0.508,0.279,0.213
0.512,0.272,0.216
0.500,0.289,0.210
0.500,0.287,0.213
0.501,0.282,0.218
0.501,0.273,0.227
0.498,0.270,0.231
0.498,0.273,0.229
0.498,0.276,0.225
0.499,0.281,0.220
0.499,0.286,0.215
0.500,0.290,0.210
0.503,0.292,0.206
0.505,0.291,0.204
0.509,0.288,0.203
0.512,0.285,0.203
0.513,0.283,0.204
0.509,0.287,0.204
0.505,0.290,0.205
0.502,0.291,0.207
0.499,0.291,0.210
0.499,0.286,0.215
0.499,0.282,0.219
0.496,0.282,0.222
0.497,0.285,0.218
0.501,0.285,0.214
0.511,0.268,0.221
0.516,0.251,0.233
0.506,0.255,0.239
0.488,0.267,0.245
0.473,0.270,0.257
0.455,0.266,0.279
0.438,0.265,0.297
0.431,0.266,0.303
0.422,0.271,0.307
0.423,0.277,0.299
0.428,0.277,0.295
0.429,0.280,0.291
0.425,0.281,0.294
0.428,0.279,0.293
0.435,0.279,0.286
0.443,0.280,0.278
0.442,0.280,0.278
0.447,0.278,0.275
0.450,0.271,0.279
0.447,0.267,0.286
0.443,0.264,0.292
0.432,0.264,0.303
0.417,0.271,0.312
0.402,0.286,0.311
0.393,0.308,0.299
0.394,0.314,0.292
0.395,0.313,0.293
0.396,0.304,0.300
0.400,0.294,0.306
0.402,0.293,0.305
0.405,0.294,0.301
0.408,0.297,0.295
0.408,0.300,0.292
0.407,0.305,0.289
0.405,0.308,0.287
0.404,0.317,0.279
0.408,0.329,0.263
0.413,0.334,0.252
0.420,0.333,0.247
0.425,0.330,0.245
0.430,0.327,0.242
0.435,0.326,0.240
0.447,0.317,0.236
0.455,0.310,0.235
0.459,0.305,0.236
0.460,0.305,0.235
0.457,0.307,0.236
0.451,0.312,0.237
0.449,0.313,0.239
0.449,0.310,0.241
0.449,0.307,0.244
0.446,0.308,0.246
0.444,0.309,0.247
0.443,0.310,0.247
0.440,0.315,0.245
0.437,0.317,0.245
0.438,0.316,0.246
0.437,0.315,0.248
0.437,0.312,0.251
0.439,0.307,0.255
0.440,0.304,0.256
0.441,0.305,0.254
0.441,0.308,0.252
0.441,0.308,0.251
0.441,0.309,0.250
0.442,0.307,0.251
0.443,0.304,0.252
0.444,0.299,0.257
0.443,0.292,0.265
0.439,0.282,0.279
0.436,0.278,0.286
0.438,0.282,0.280
0.440,0.286,0.274
0.439,0.286,0.275
0.439,0.287,0.274
0.438,0.289,0.274
0.436,0.291,0.273
0.436,0.296,0.268
0.437,0.300,0.263
0.438,0.303,0.259
0.436,0.307,0.256
0.432,0.311,0.257
0.431,0.311,0.258
0.430,0.311,0.259
0.430,0.310,0.260
0.431,0.309,0.261
0.433,0.306,0.261
0.437,0.302,0.262
0.437,0.300,0.263
0.435,0.300,0.265
0.433,0.298,0.269
0.433,0.297,0.271
0.432,0.297,0.271
0.436,0.296,0.268
0.438,0.296,0.266
0.441,0.296,0.263
0.443,0.297,0.260
0.443,0.297,0.260
0.442,0.297,0.260
0.442,0.297,0.261
0.439,0.297,0.263
0.435,0.298,0.267
0.432,0.297,0.270
0.431,0.297,0.272
0.431,0.296,0.273
0.434,0.296,0.270
0.440,0.297,0.263
0.444,0.298,0.258
0.441,0.298,0.261
0.435,0.296,0.269
0.430,0.293,0.278
0.426,0.287,0.287
0.427,0.282,0.291
0.430,0.279,0.291
0.437,0.275,0.289
0.441,0.272,0.287
0.442,0.270,0.288
0.441,0.268,0.290
0.440,0.268,0.292
0.434,0.272,0.294
0.425,0.281,0.294
0.420,0.294,0.286
0.422,0.304,0.274
0.429,0.317,0.254
0.437,0.320,0.242
0.446,0.315,0.239
0.451,0.309,0.240
0.457,0.305,0.238
0.455,0.307,0.238
0.447,0.313,0.240
0.446,0.315,0.239
0.443,0.319,0.238
0.437,0.327,0.236
0.423,0.338,0.239
0.400,0.347,0.252
0.382,0.337,0.281
0.377,0.320,0.303
0.380,0.308,0.312
0.385,0.297,0.318
0.390,0.289,0.321
0.397,0.284,0.319
0.405,0.286,0.309
0.417,0.297,0.286
0.436,0.309,0.256
0.462,0.312,0.225
0.485,0.305,0.209
0.500,0.293,0.207
0.504,0.286,0.210
0.503,0.286,0.211
0.502,0.287,0.211
0.500,0.291,0.209
0.497,0.296,0.207
0.496,0.297,0.207
0.491,0.298,0.211
0.486,0.293,0.220
0.496,0.277,0.227
0.518,0.253,0.229
0.524,0.252,0.224
0.523,0.260,0.217
0.520,0.269,0.211
0.510,0.284,0.206
0.503,0.288,0.209
0.501,0.284,0.215
0.501,0.283,0.216
0.501,0.285,0.214
0.502,0.286,0.212
0.507,0.284,0.209
0.511,0.277,0.212
0.510,0.272,0.218
0.499,0.274,0.227
0.481,0.279,0.240
0.464,0.276,0.260
0.455,0.276,0.268
0.457,0.282,0.261
0.464,0.290,0.246
0.475,0.294,0.230
0.487,0.294,0.219
0.498,0.290,0.212
0.500,0.288,0.211
0.501,0.288,0.212
0.501,0.288,0.212
0.501,0.287,0.212
0.501,0.287,0.212
0.501,0.287,0.212
0.501,0.287,0.212
0.501,0.288,0.211
0.500,0.289,0.211
0.500,0.288,0.212
0.500,0.288,0.212
0.498,0.290,0.212
0.494,0.293,0.213
0.489,0.295,0.216
0.476,0.299,0.225
0.463,0.300,0.237
0.458,0.297,0.245
0.457,0.293,0.250
0.453,0.293,0.254
0.445,0.293,0.262
0.434,0.295,0.271
0.427,0.297,0.276
0.418,0.300,0.282
0.408,0.304,0.288
0.403,0.308,0.290
0.400,0.310,0.290
0.399,0.311,0.290
0.397,0.314,0.289
0.396,0.317,0.286
0.394,0.319,0.287
0.393,0.322,0.285
0.393,0.326,0.281
0.392,0.326,0.282
0.393,0.326,0.281
0.393,0.325,0.282
0.393,0.323,0.285
0.393,0.321,0.286
0.396,0.326,0.278
0.400,0.332,0.268
0.402,0.334,0.264
0.403,0.338,0.260
0.401,0.338,0.261
0.399,0.337,0.264
0.399,0.338,0.263
0.399,0.336,0.265
0.401,0.332,0.267
0.402,0.327,0.271
0.401,0.321,0.278
0.401,0.316,0.283
0.400,0.313,0.287
0.400,0.313,0.287
0.403,0.318,0.279
0.405,0.324,0.271
0.400,0.313,0.287
0.403,0.318,0.279
0.405,0.324,0.271
0.410,0.330,0.260
0.418,0.332,0.250
0.427,0.328,0.245
0.436,0.308,0.255
0.440,0.288,0.271
0.441,0.276,0.283
0.444,0.275,0.281
0.447,0.284,0.269
0.449,0.301,0.250
0.452,0.304,0.244
0.457,0.308,0.235
0.462,0.310,0.228
0.474,0.299,0.226
0.475,0.300,0.225
0.471,0.301,0.227
0.476,0.294,0.230
0.476,0.283,0.241
0.467,0.271,0.263
0.476,0.294,0.230
0.476,0.283,0.241
0.467,0.271,0.263
0.439,0.273,0.288
0.424,0.281,0.295
0.428,0.281,0.291
0.437,0.279,0.284
0.444,0.277,0.280
0.445,0.277,0.279
0.445,0.277,0.278
0.446,0.277,0.277
0.445,0.278,0.277
0.445,0.279,0.276
0.446,0.279,0.275
0.448,0.280,0.272
0.449,0.280,0.271
0.447,0.280,0.273
0.442,0.281,0.278
0.437,0.283,0.281
0.434,0.284,0.282
0.434,0.285,0.282
0.433,0.286,0.282
0.432,0.286,0.282
0.429,0.286,0.285
0.427,0.286,0.287
0.427,0.283,0.290
0.431,0.280,0.289
0.438,0.277,0.285
0.445,0.277,0.278
0.443,0.277,0.280
0.447,0.275,0.278
0.445,0.286,0.269
0.441,0.293,0.266
0.448,0.285,0.267
0.450,0.283,0.266
0.459,0.284,0.258
0.468,0.283,0.249
0.477,0.286,0.237
0.484,0.287,0.229
0.489,0.286,0.225
0.490,0.286,0.224
0.487,0.286,0.226
0.484,0.287,0.230
0.483,0.288,0.229
0.483,0.288,0.229
0.483,0.288,0.230
0.483,0.289,0.228
0.483,0.291,0.226
0.484,0.290,0.226
0.483,0.288,0.229
0.480,0.289,0.231
0.477,0.289,0.233
0.472,0.289,0.239
0.458,0.291,0.251
0.443,0.292,0.265
0.424,0.295,0.281
0.417,0.296,0.287
0.424,0.294,0.282
0.432,0.293,0.275
0.441,0.294,0.265
0.450,0.294,0.256
0.456,0.295,0.248
0.465,0.297,0.238
0.468,0.297,0.235
0.468,0.297,0.236
0.467,0.296,0.237
0.463,0.294,0.243
0.454,0.291,0.255
0.451,0.288,0.261
0.447,0.288,0.264
0.444,0.289,0.267
0.439,0.291,0.270
0.438,0.295,0.267
0.442,0.300,0.258
0.450,0.304,0.246
0.463,0.304,0.232
0.470,0.304,0.226
0.472,0.304,0.224
0.477,0.303,0.220
0.480,0.302,0.217
0.479,0.303,0.218
0.468,0.305,0.226
0.451,0.304,0.245
0.442,0.299,0.259
0.434,0.293,0.273
0.418,0.288,0.294
0.407,0.289,0.303
0.402,0.293,0.305
0.401,0.296,0.303
0.402,0.297,0.301
0.404,0.296,0.300
0.406,0.295,0.299
0.408,0.294,0.298
0.413,0.294,0.293
0.417,0.295,0.288
0.420,0.295,0.285
0.423,0.296,0.281
0.423,0.296,0.281
0.423,0.296,0.281
0.423,0.296,0.281
0.423,0.296,0.281
0.423,0.296,0.281
0.424,0.296,0.280
0.423,0.297,0.280
0.422,0.296,0.282
0.419,0.295,0.286
0.416,0.293,0.291
0.417,0.292,0.290
0.421,0.294,0.285
0.425,0.295,0.281
0.426,0.296,0.279
0.426,0.295,0.279
0.428,0.295,0.277
0.431,0.297,0.272
0.435,0.300,0.265
0.440,0.302,0.258
0.444,0.304,0.252
0.444,0.304,0.252
0.446,0.304,0.249
0.449,0.305,0.246
0.449,0.306,0.245
0.449,0.305,0.246
0.447,0.304,0.249
0.448,0.307,0.246
0.451,0.310,0.239
0.451,0.311,0.238
0.452,0.312,0.236
0.461,0.314,0.225
0.473,0.313,0.214
0.484,0.309,0.208
0.494,0.302,0.204
0.500,0.296,0.204
0.502,0.292,0.206
0.502,0.289,0.209
0.501,0.288,0.211
0.502,0.287,0.211
0.503,0.286,0.211
0.502,0.286,0.212
0.500,0.287,0.213
0.500,0.286,0.214
0.499,0.286,0.215
0.499,0.286,0.215
0.499,0.286,0.215
0.500,0.286,0.214
0.500,0.287,0.213
0.501,0.287,0.212
0.502,0.287,0.211
0.502,0.286,0.211
